2015-07-15 10:52:17,745 [Worker-10] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded https://repo.maven.apache.org/maven2/android/support/android-support/v13/android-support-v13.pom
2015-07-15 10:52:17,751 [Worker-10] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for android.support:android-support:jar:v13 is missing, no dependency information available
2015-07-15 10:52:17,759 [Worker-10] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for com.sqlcipher.encryption:sqlcipher:jar:2.2 is missing, no dependency information available
2015-07-15 10:52:17,760 [Worker-10] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for com.sqlcipher.encryption:guava:jar:r09 is missing, no dependency information available
2015-07-15 10:52:19,019 [Worker-10] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloading https://repo.maven.apache.org/maven2/com/google/android/android/4.1.1.4/android-4.1.1.4.pom
2015-07-15 10:52:19,314 [Worker-10] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded https://repo.maven.apache.org/maven2/com/google/android/android/4.1.1.4/android-4.1.1.4.pom
2015-07-15 10:52:19,627 [Worker-10] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloading https://repo.maven.apache.org/maven2/org/apache/httpcomponents/httpclient/4.0.1/httpclient-4.0.1.pom
2015-07-15 10:52:19,969 [Worker-10] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded https://repo.maven.apache.org/maven2/org/apache/httpcomponents/httpclient/4.0.1/httpclient-4.0.1.pom
2015-07-15 10:52:20,259 [Worker-10] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloading https://repo.maven.apache.org/maven2/org/apache/httpcomponents/httpcomponents-client/4.0.1/httpcomponents-client-4.0.1.pom
2015-07-15 10:52:20,556 [Worker-10] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded https://repo.maven.apache.org/maven2/org/apache/httpcomponents/httpcomponents-client/4.0.1/httpcomponents-client-4.0.1.pom
2015-07-15 10:52:20,867 [Worker-10] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloading https://repo.maven.apache.org/maven2/org/khronos/opengl-api/gl1.1-android-2.1_r1/opengl-api-gl1.1-android-2.1_r1.pom
2015-07-15 10:52:21,174 [Worker-10] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded https://repo.maven.apache.org/maven2/org/khronos/opengl-api/gl1.1-android-2.1_r1/opengl-api-gl1.1-android-2.1_r1.pom
2015-07-15 10:52:21,476 [Worker-10] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloading https://repo.maven.apache.org/maven2/xerces/xmlParserAPIs/2.6.2/xmlParserAPIs-2.6.2.pom
2015-07-15 10:52:21,778 [Worker-10] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded https://repo.maven.apache.org/maven2/xerces/xmlParserAPIs/2.6.2/xmlParserAPIs-2.6.2.pom
2015-07-15 10:52:22,155 [Worker-10] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloading https://repo.maven.apache.org/maven2/xpp3/xpp3/1.1.4c/xpp3-1.1.4c.pom
2015-07-15 10:52:22,476 [Worker-10] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded https://repo.maven.apache.org/maven2/xpp3/xpp3/1.1.4c/xpp3-1.1.4c.pom
2015-07-15 10:52:22,498 [Worker-10] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for com.adobe.blazeds:blazeds-android:jar:3.2.0.3978 is missing, no dependency information available
2015-07-15 10:52:22,500 [Worker-10] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for com.google.code:droidtext:jar:nocert:0.2 is missing, no dependency information available
2015-07-15 10:52:22,508 [Worker-10] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for com.intuit.mobile.png:png-android-sdk:jar:1.1.0.3 is missing, no dependency information available
2015-07-15 10:52:22,510 [Worker-10] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for com.intuit.mobile.crashreport:acra:jar:4.4.0-1.0.0 is missing, no dependency information available
2015-07-15 10:52:22,512 [Worker-10] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for com.intuit.spc:authorization:jar:1.0 is missing, no dependency information available
2015-07-15 10:52:22,520 [Worker-10] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for analytics:intuitanalyticssdk:jar:2.0.0.2 is missing, no dependency information available
2015-07-15 10:52:22,521 [Worker-10] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for analytics:deviceidentityclient:jar:1.0.0.4 is missing, no dependency information available
2015-07-16 14:37:00,340 [Worker-363] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloading https://repo.maven.apache.org/maven2/org/apache/maven/plugins/maven-compiler-plugin/3.0/maven-compiler-plugin-3.0.jar
2015-07-16 14:37:00,985 [Worker-363] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded https://repo.maven.apache.org/maven2/org/apache/maven/plugins/maven-compiler-plugin/3.0/maven-compiler-plugin-3.0.jar
2015-07-16 14:37:01,371 [Worker-363] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloading https://repo.maven.apache.org/maven2/org/apache/maven/plugins/maven-surefire-plugin/2.18/maven-surefire-plugin-2.18.jar
2015-07-16 14:37:03,896 [Worker-363] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded https://repo.maven.apache.org/maven2/org/apache/maven/plugins/maven-surefire-plugin/2.18/maven-surefire-plugin-2.18.jar
2015-07-16 14:37:04,728 [Worker-363] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloading https://repo.maven.apache.org/maven2/org/apache/maven/plugins/maven-compiler-plugin/3.0/maven-compiler-plugin-3.0.pom
2015-07-16 14:37:05,150 [Worker-363] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded https://repo.maven.apache.org/maven2/org/apache/maven/plugins/maven-compiler-plugin/3.0/maven-compiler-plugin-3.0.pom
